Year,Sub_Region_Name,Climate_Value
2022,삼척시,13.1
2022,홍천군,11.0
2022,횡성군,10.9
2022,영월군,11.5
2022,평창군,9.8
2022,정선군,9.9
2022,철원군,10.5
2022,화천군,11.0
2022,양구군,10.6
2022,인제군,10.7
2022,고성군,13.3
2022,양양군,13.7
2022,충주시,13.0
2022,제천시,12.0
2022,청주시,13.8
2022,청주시 상당구,13.4
2022,청주시 서원구,13.9
2022,청주시 흥덕구,14.2
2022,청주시 청원구,13.8
2022,보은군,12.5
2022,옥천군,13.2
2022,영동군,12.9
2022,진천군,13.0
2022,괴산군,12.6
2022,음성군,12.8
2022,단양군,12.2
2022,증평군,13.4
2022,천안시,13.4
2022,천안시 동남구,13.3
2022,천안시 서북구,13.6
2022,공주시,13.5
2022,보령시,13.7
2022,아산시,13.7
2022,서산시,13.5
2022,논산시,13.8
2022,계룡시,13.2
2022,당진시,13.5
2022,금산군,13.0
2022,부여군,13.5
2022,서천군,13.9
2022,청양군,13.1
2022,홍성군,13.6
2022,예산군,13.5
2022,태안군,13.9
2022,전주시,14.9
2022,전주시 완산구,14.9
2022,전주시 덕진구,14.8
2022,군산시,14.2
2022,익산시,14.2
2022,정읍시,14.4
2022,남원시,13.6
2022,김제시,14.4
2022,완주군,13.9
2022,진안군,12.2
2022,무주군,12.3
2022,장수군,12.3
2022,임실군,12.8
2022,순창군,13.4
2022,고창군,14.4
2022,부안군,14.4
2022,목포시,15.1
2022,여수시,15.7
2022,순천시,15.1
2022,나주시,14.7
2022,광양시,15.4
2022,담양군,14.3
2022,곡성군,14.1
2022,구례군,14.4
2022,고흥군,15.4
2022,보성군,14.1
2022,화순군,14.2
2022,장흥군,14.3
2022,강진군,14.7
2022,해남군,14.8
2022,영암군,14.8
2022,무안군,15.0
2022,함평군,14.6
2022,영광군,14.7
2022,장성군,14.4
2022,완도군,15.4
2022,진도군,14.9
2022,신안군,15.3
2022,포항시,15.2
2022,포항시 남구,15.5
2022,포항시 북구,14.9
2022,경주시,14.6
2022,김천시,13.5
2022,안동시,13.1
2022,구미시,14.1
2022,영주시,12.8
2022,영천시,14.1
2022,상주시,13.4
2022,문경시,13.1
2022,경산시,15.2
2022,군위군,13.1
2022,의성군,13.3
2022,청송군,12.1
2022,영양군,11.6
2022,영덕군,14.3
2022,청도군,14.0
2022,고령군,14.2
2022,성주군,14.0
2022,칠곡군,14.4
2022,예천군,13.2
2022,봉화군,11.6
2022,울진군,13.8
2022,울릉군,13.3
2022,진주시,14.5
2022,통영시,15.7
2022,사천시,15.3
2022,김해시,15.6
2022,밀양시,14.6
2022,거제시,15.7
2022,양산시,14.9
2022,창원시,15.2
2022,창원시 의창구,15.1
2022,창원시 성산구,15.5
2022,창원시 마산합포구,15.2
2022,창원시 마산회원구,15.2
2022,창원시 진해구,15.3
2022,의령군,14.2
2022,함안군,14.6
2022,창녕군,14.6
2022,고성군,14.9
2022,남해군,15.7
2022,하동군,15.0
2022,산청군,14.2
2022,함양군,13.4
2022,거창군,12.9
2022,합천군,14.0
2022,제주시,16.8
2022,서귀포시,17.3
2023,종로구,14.5
2023,중구,14.9
2023,용산구,14.8
2023,성동구,15.2
2023,광진구,15.2
2023,동대문구,15.1
2023,중랑구,14.7
2023,성북구,14.6
2023,강북구,14.6
2023,도봉구,14.2
2023,노원구,14.3
2023,은평구,14.5
2023,서대문구,14.3
2023,마포구,15.0
2023,양천구,15.0
2023,강서구,14.9
2023,구로구,14.9
2023,금천구,15.1
2023,영등포구,15.3
2023,동작구,15.0
2023,관악구,14.9
2023,서초구,15.1
2023,강남구,15.3
2023,송파구,15.3
2023,강동구,14.9
2023,중구,16.8
2023,서구,16.1
2023,동구,15.7
2023,영도구,16.5
2023,부산진구,16.4
2023,동래구,16.3
2023,남구,16.9
2023,북구,16.4
2023,해운대구,16.6
2023,사하구,16.5
2023,금정구,15.9
2023,강서구,16.6
